Date,Open,High,Low,Close,Adj Close,Volume
2013-03-01,11379.000000,11694.700195,11111.700195,11572.700195,11493.763672,6928
2013-03-04,11669.000000,11780.000000,11418.000000,11593.000000,11513.925781,10373
2013-03-05,11684.299805,11970.000000,11625.000000,11902.799805,11821.610352,6343
2013-03-06,11970.000000,12256.000000,11925.099609,12181.299805,12098.209961,7783
2013-03-07,12170.000000,12642.000000,12133.200195,12597.200195,12511.276367,10505
2013-03-08,12756.500000,13020.000000,12550.299805,12977.200195,12888.682617,15067
2013-03-11,13124.200195,13124.200195,12851.000000,12909.700195,12821.644531,10582
2013-03-12,12555.000000,12973.799805,12480.900391,12785.799805,12698.588867,8673
2013-03-13,12888.000000,12888.000000,12580.000000,12657.500000,12571.163086,5187
2013-03-14,12501.500000,12975.000000,12390.000000,12923.900391,12835.748047,11171
2013-03-15,12917.000000,13000.000000,12685.000000,12711.900391,12625.193359,6699
2013-03-18,12650.000000,12680.000000,12500.000000,12602.000000,12516.041992,3817
2013-03-19,12724.799805,12840.000000,12138.299805,12394.599609,12310.058594,9481
2013-03-20,12302.000000,12468.000000,11901.000000,11966.500000,11884.875977,9425
2013-03-21,11976.000000,12067.900391,11602.000000,11674.000000,11594.372070,11199
2013-03-22,11799.500000,11799.500000,11510.000000,11610.000000,11530.808594,5198
2013-03-25,11750.000000,11810.000000,11625.000000,11676.200195,11596.557617,6320
2013-03-26,11742.000000,11781.000000,11263.000000,11618.000000,11538.754883,7790
2013-03-28,11618.000000,12238.000000,11581.500000,11971.799805,11890.140625,11383
2013-04-01,11971.799805,12140.000000,11900.000000,12073.799805,11991.445313,4792
2013-04-02,12180.000000,12234.000000,11972.000000,12190.799805,12107.648438,5004
2013-04-03,12050.000000,12567.200195,11810.000000,11985.400391,11903.649414,6627
2013-04-04,11935.000000,12028.000000,11750.000000,11772.799805,11692.498047,5789
2013-04-05,11801.000000,11970.000000,11777.000000,11886.599609,11805.522461,3660
2013-04-08,11801.000000,11980.000000,11780.200195,11827.799805,11747.123047,2377
2013-04-09,11855.000000,12116.299805,11485.000000,11547.299805,11468.536133,8057
2013-04-10,11512.000000,11800.000000,11432.400391,11695.000000,11615.228516,6489
2013-04-11,11890.000000,12567.200195,11560.099609,11675.799805,11596.160156,5808
2013-04-12,11680.000000,11800.000000,11450.000000,11713.299805,11633.402344,3298
2013-04-15,11813.000000,11979.700195,11650.000000,11865.700195,11784.762695,4344
2013-04-16,11876.500000,12394.000000,11876.500000,12349.799805,12265.562500,17019
2013-04-17,12549.000000,12549.000000,12201.000000,12303.599609,12219.677734,11372
2013-04-18,12304.000000,12970.000000,12270.000000,12901.500000,12813.499023,32151
2013-04-22,12901.500000,13270.299805,12801.000000,13224.500000,13134.297852,15037
2013-04-23,13224.000000,13920.000000,13050.000000,13827.700195,13733.380859,30925
2013-04-25,13827.700195,14139.200195,13568.299805,13672.700195,13579.438477,44291
2013-04-26,13700.000000,13890.000000,13450.000000,13592.700195,13499.986328,11391
2013-04-29,13627.000000,13816.500000,13600.000000,13663.500000,13570.300781,11217
2013-04-30,13820.000000,13825.799805,13118.000000,13379.299805,13288.038086,12477
2013-05-02,13379.299805,13640.000000,13305.000000,13395.299805,13303.931641,12963
2013-05-03,13550.000000,13660.000000,13280.000000,13567.500000,13474.956055,15379
2013-05-06,13588.299805,14226.900391,13405.000000,14118.799805,14022.496094,24313
2013-05-07,14170.000000,14330.000000,14042.099609,14184.000000,14087.251953,18227
2013-05-08,14210.000000,14705.000000,14016.000000,14616.700195,14517.000977,29703
2013-05-09,14600.000000,14895.000000,14512.299805,14740.000000,14639.459961,19463
2013-05-10,14752.000000,15008.700195,14720.000000,14837.500000,14736.295898,14646
2013-05-13,14899.799805,14900.000000,14575.500000,14652.799805,14552.853516,8509
2013-05-14,14610.099609,14928.799805,14610.099609,14850.200195,14748.908203,13029
2013-05-15,14800.000000,15250.000000,14800.000000,15152.400391,15049.046875,17167
2013-05-16,15030.000000,15330.000000,15030.000000,15178.700195,15075.166992,10937
2013-05-17,15204.000000,15204.000000,14921.000000,14992.400391,14890.136719,9062
2013-05-20,15030.000000,15220.000000,14975.000000,15001.299805,14898.977539,7887
2013-05-21,14986.000000,15250.000000,14986.000000,15182.700195,15079.138672,12352
2013-05-22,15190.000000,15499.000000,15190.000000,15373.400391,15268.539063,12226
2013-05-23,15345.000000,15375.000000,14810.000000,14916.400391,14814.655273,11765
2013-05-24,15140.000000,15380.000000,14823.700195,15267.799805,15163.658203,10207
2013-05-27,15297.000000,15450.000000,15218.799805,15397.200195,15292.177734,7563
2013-05-28,15350.000000,15450.000000,15235.099609,15382.200195,15277.279297,5521
2013-05-29,15448.000000,15448.000000,14916.000000,15141.000000,15037.724609,9254
2013-05-30,15142.000000,15240.000000,14900.000000,15005.500000,14903.147461,11287
2013-05-31,14960.000000,15180.000000,14871.099609,14895.099609,14793.500000,6501
2013-06-03,14805.400391,15138.000000,14805.400391,15032.799805,14930.262695,6048
2013-06-04,14979.900391,15422.000000,14920.200195,15169.299805,15065.831055,11208
2013-06-05,15050.000000,15350.000000,15050.000000,15274.700195,15170.510742,8228
2013-06-06,15150.000000,15310.000000,15108.000000,15200.599609,15096.916016,4986
2013-06-07,15200.000000,15359.900391,14928.000000,14992.299805,14890.036133,8512
2013-06-10,15200.000000,15210.000000,14721.000000,14752.299805,14651.673828,9016
2013-06-11,14700.000000,14719.799805,14355.000000,14460.200195,14361.567383,8600
2013-06-12,14400.000000,14775.500000,14400.000000,14677.700195,14577.583984,5765
2013-06-13,14470.000000,14569.000000,14257.099609,14331.299805,14233.545898,7936
2013-06-14,14325.000000,14569.000000,14213.000000,14311.900391,14214.279297,7422
2013-06-17,14399.000000,14400.000000,14145.299805,14298.099609,14200.574219,5908
2013-06-18,14060.000000,14394.799805,14060.000000,14164.799805,14068.181641,6162
2013-06-19,14230.000000,14275.000000,14020.000000,14109.200195,14012.961914,8130
2013-06-20,14050.000000,14050.000000,13620.000000,13769.200195,13675.281250,8605
2013-06-21,13700.000000,13769.900391,12700.000000,12933.200195,12844.983398,19777
2013-06-24,13000.000000,13308.000000,12180.000000,12305.900391,12221.962891,17951
2013-06-25,12598.000000,12908.000000,12251.000000,12652.500000,12566.197266,18072
2013-06-26,12759.900391,12825.000000,12280.799805,12355.299805,12271.024414,6413
2013-06-27,12470.000000,12710.000000,12456.500000,12524.099609,12438.672852,10913
2013-06-28,12700.000000,13020.000000,12605.000000,12926.200195,12838.030273,10404
2013-07-01,12875.000000,12980.000000,12760.000000,12918.500000,12830.381836,8718
2013-07-02,12950.000000,13084.000000,12760.000000,12804.700195,12717.360352,7963
2013-07-03,12750.000000,12750.000000,12253.099609,12305.700195,12221.763672,12296
2013-07-04,12475.000000,12553.000000,12280.000000,12431.900391,12347.102539,9049
2013-07-05,12510.000000,12661.500000,12070.000000,12270.000000,12186.308594,14767
2013-07-08,12225.000000,12300.000000,12050.000000,12207.900391,12124.629883,6574
2013-07-09,12498.000000,12528.700195,12260.000000,12476.000000,12390.902344,8145
2013-07-10,12450.000000,12675.000000,12435.000000,12501.200195,12415.929688,7639
2013-07-11,12412.000000,12744.599609,12412.000000,12661.400391,12575.036133,6834
2013-07-12,12701.000000,12790.000000,12523.799805,12605.200195,12519.220703,4420
2013-07-15,12650.000000,12908.900391,12462.200195,12837.799805,12750.234375,8679
2013-07-16,12709.000000,12799.000000,12511.000000,12576.799805,12491.014648,5238
2013-07-17,12715.000000,12735.000000,12455.599609,12594.500000,12508.593750,11901
2013-07-18,12725.000000,13650.000000,12600.099609,13588.299805,13495.615234,28775
2013-07-19,13650.000000,14278.799805,13611.000000,13819.599609,13725.335938,38653
2013-07-22,13690.000000,14450.000000,13690.000000,14397.200195,14298.998047,28065
2013-07-23,14411.000000,14814.000000,14300.000000,14386.500000,14288.371094,23879
2013-07-24,14299.000000,14620.000000,13682.000000,13811.299805,13717.091797,20715
2013-07-25,13780.000000,14723.700195,13640.099609,13850.200195,13755.728516,71698
2013-07-26,14149.000000,14187.000000,13702.099609,13793.400391,13699.314453,23941
2013-07-29,13793.400391,13933.200195,13600.000000,13637.200195,13544.181641,10653
2013-07-30,13725.000000,13754.700195,13110.000000,13181.299805,13091.390625,12290
2013-07-31,13197.000000,13325.000000,12770.299805,13217.500000,13127.342773,15135
2013-08-01,13495.000000,13495.000000,12725.000000,12855.799805,12768.109375,13259
2013-08-02,12947.000000,13069.000000,12631.000000,12735.200195,12648.333008,11869
2013-08-05,12795.000000,12975.000000,12601.000000,12744.500000,12657.569336,10062
2013-08-06,12745.000000,12745.000000,12311.000000,12504.000000,12421.633789,10813
2013-08-07,12403.000000,12946.200195,12403.000000,12846.500000,12761.876953,8913
2013-08-08,12722.000000,13134.700195,12722.000000,12984.799805,12899.267578,6727
2013-08-12,12984.799805,13500.000000,12984.799805,13450.000000,13361.402344,12389
2013-08-13,13470.000000,14211.000000,13373.099609,14134.799805,14041.692383,23485
2013-08-14,14200.000000,14333.000000,14035.000000,14174.000000,14080.631836,10459
2013-08-16,14174.000000,14264.400391,13310.000000,13409.799805,13321.468750,12492
2013-08-19,13400.000000,13400.000000,12800.000000,13114.799805,13028.411133,8885
2013-08-20,13000.000000,13516.000000,12820.000000,13475.200195,13386.436523,13769
2013-08-21,13625.000000,13817.799805,12860.000000,12953.799805,12868.471680,12172
2013-08-22,12824.000000,13292.000000,12716.400391,13044.799805,12958.871094,12661
2013-08-23,12951.000000,13319.000000,12950.000000,13202.200195,13115.236328,8894
2013-08-26,13205.000000,13375.799805,13124.000000,13237.200195,13150.004883,7335
2013-08-27,13250.000000,13250.000000,12851.000000,12901.700195,12816.713867,4267
2013-08-28,12801.000000,12988.799805,12550.000000,12925.099609,12839.958984,7384
2013-08-29,13000.000000,13239.299805,12905.200195,13128.000000,13041.523438,11233
2013-08-30,13070.000000,13230.000000,12780.599609,12894.000000,12809.065430,9495
2013-09-02,12940.000000,13668.000000,12940.000000,13582.500000,13493.029297,17007
2013-09-03,13690.000000,13780.000000,13000.000000,13033.200195,12947.349609,14466
2013-09-04,13188.000000,13536.200195,13050.000000,13421.500000,13333.091797,10306
2013-09-05,13637.000000,13715.000000,13020.400391,13101.500000,13015.198242,17924
2013-09-06,13200.000000,13280.000000,12950.000000,12985.799805,12900.260742,12822
2013-09-10,12985.799805,13300.000000,12985.799805,13076.299805,12990.164063,12922
2013-09-11,13176.299805,13176.299805,12740.000000,12788.799805,12704.558594,17882
2013-09-12,12900.000000,13130.700195,12711.000000,12893.099609,12808.169922,13541
2013-09-13,12924.000000,13039.900391,12760.000000,12823.799805,12739.330078,7066
2013-09-16,13154.000000,13154.000000,12725.000000,12821.799805,12737.341797,6917
2013-09-17,12872.000000,12925.500000,12735.000000,12824.400391,12739.925781,5343
2013-09-18,12921.000000,12981.900391,12820.000000,12859.200195,12774.493164,3457
2013-09-19,13099.000000,13278.000000,12902.299805,13169.299805,13082.551758,13448
2013-09-20,13180.000000,13369.700195,12670.000000,12990.599609,12905.028320,14535
2013-09-23,12950.000000,12960.299805,12826.000000,12851.000000,12766.349609,4005
2013-09-24,12839.200195,13060.000000,12801.000000,12842.700195,12758.102539,5981
2013-09-25,12845.000000,12980.000000,12800.000000,12833.099609,12748.566406,7020
2013-09-26,12783.000000,12949.900391,12720.000000,12792.000000,12707.737305,7877
2013-09-27,12855.000000,13722.000000,12830.000000,13472.500000,13383.755859,42694
2013-09-30,13311.000000,13580.000000,13301.000000,13385.000000,13296.830078,10736
2013-10-01,13385.000000,13950.000000,13290.000000,13855.700195,13764.432617,24791
2013-10-03,13855.700195,14666.000000,13855.700195,14549.200195,14453.363281,33072
2013-10-04,14455.000000,14671.000000,14235.700195,14389.000000,14294.217773,25383
2013-10-07,14400.099609,14899.000000,14300.000000,14824.000000,14726.350586,22347
2013-10-08,14999.000000,15135.700195,14700.500000,14991.400391,14892.650391,22885
2013-10-09,14890.000000,14998.000000,14717.000000,14867.500000,14769.567383,10139
2013-10-10,14850.000000,14949.000000,14630.000000,14671.500000,14574.857422,8993
2013-10-11,14800.000000,15300.000000,14760.099609,15184.299805,15084.279297,21395
2013-10-14,15100.000000,15450.000000,15050.099609,15335.799805,15234.780273,14462
2013-10-15,15400.000000,15438.000000,15030.400391,15086.900391,14987.523438,8313
2013-10-17,15086.900391,15300.000000,15057.599609,15114.799805,15015.237305,5976
2013-10-18,15149.000000,15340.000000,15024.200195,15265.500000,15164.943359,6255
2013-10-21,15201.000000,15385.700195,15150.000000,15297.799805,15197.031250,6679
2013-10-22,15120.000000,15824.799805,15100.000000,15721.900391,15618.337891,18214
2013-10-23,15702.000000,15849.000000,15480.000000,15638.900391,15535.882813,8284
2013-10-24,15674.299805,15950.000000,15526.000000,15643.700195,15540.653320,11473
2013-10-25,15487.000000,15690.000000,15376.200195,15472.700195,15370.779297,6306
2013-10-28,15305.000000,15650.000000,15300.000000,15353.500000,15252.365234,3430
2013-10-29,15400.000000,15653.900391,15301.099609,15541.099609,15438.728516,6719
2013-10-30,15594.000000,15787.000000,15510.000000,15645.500000,15542.442383,6114
2013-10-31,15600.000000,15800.000000,15590.000000,15751.099609,15647.345703,11279
2013-11-01,15779.000000,16144.000000,15640.700195,16020.400391,15914.871094,11597
2013-11-05,16020.400391,16744.699219,15852.000000,16646.199219,16539.644531,20876
2013-11-06,16663.099609,16840.000000,16422.000000,16466.599609,16361.194336,11521
2013-11-07,16599.000000,16599.000000,16151.000000,16182.799805,16079.212891,5133
2013-11-08,16200.000000,16540.000000,16134.000000,16404.000000,16298.996094,4997
2013-11-11,16211.700195,16770.000000,16211.700195,16591.400391,16485.203125,10840
2013-11-12,16501.000000,16700.000000,16340.000000,16417.300781,16312.210938,11747
2013-11-13,16300.000000,16699.000000,16300.000000,16507.199219,16401.537109,8924
2013-11-14,16598.900391,16690.500000,16500.000000,16523.400391,16417.632813,3241
2013-11-18,16523.400391,17020.000000,16523.400391,16977.900391,16869.224609,10136
2013-11-19,16950.000000,17210.000000,16900.099609,16982.699219,16873.994141,13077
2013-11-20,17050.000000,17179.699219,16791.800781,16861.900391,16753.966797,8068
2013-11-21,17077.000000,17078.000000,16810.599609,16836.300781,16728.531250,6485
2013-11-22,17034.000000,17085.000000,16723.000000,16851.199219,16743.333984,5579
2013-11-25,17040.000000,17199.000000,16960.000000,17155.300781,17045.490234,5655
2013-11-26,17055.000000,17759.000000,17030.000000,17668.400391,17555.306641,17379
2013-11-27,17700.099609,17930.000000,17594.199219,17696.800781,17583.521484,13062
2013-11-28,17725.000000,18025.000000,17480.000000,17552.199219,17439.845703,21944
2013-11-29,17499.000000,17500.000000,17070.000000,17348.900391,17237.849609,28894
2013-12-02,17487.000000,17487.000000,17211.000000,17364.500000,17253.349609,9107
2013-12-03,17312.000000,17438.000000,17118.000000,17265.099609,17154.585938,8181
2013-12-04,17308.000000,17548.800781,17150.000000,17406.800781,17295.376953,14145
2013-12-05,17520.000000,17625.000000,17351.000000,17494.900391,17382.914063,10441
2013-12-06,17500.000000,17885.000000,17422.000000,17830.199219,17716.066406,11593
2013-12-09,17898.900391,17994.900391,17680.099609,17735.099609,17621.572266,8333
2013-12-10,17689.800781,18585.000000,17555.199219,18513.500000,18394.994141,24207
2013-12-11,18410.000000,19210.000000,18101.900391,19115.900391,18993.541016,30552
2013-12-12,19012.000000,19770.000000,19012.000000,19567.300781,19442.050781,43211
2013-12-13,19450.000000,19874.000000,19020.000000,19124.199219,19001.783203,47209
